Package Name,Version,License (SPDX),Permissive?,Source,Dependency Type,Repository URL,Description,Notes
cuda-artifact-finalizer,0.2.1,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,Driver-independent NVVM IR and LTOIR finalization for cuda-oxide,
cuda-async,0.3.1,Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,1st Party (crates.io),https://github.com/NVlabs/cutile-rs,Async execution layer for CUDA device operations,"Shared host crate from cutile-rs; replaced the local crates/cuda-async. The cuda-oxide SIMT API lives under cuda_async::simt."
cuda-bindings,0.3.1,Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,1st Party (crates.io),https://github.com/NVlabs/cutile-rs,Raw FFI bindings to the CUDA driver API,"Shared host crate from cutile-rs; replaced the local crates/cuda-bindings. Loads libcuda at run time through libloading."
cuda-core,0.3.1,Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,1st Party (crates.io),https://github.com/NVlabs/cutile-rs,Safe RAII wrappers around the CUDA driver API (idiomatic host-side CUDA),"Shared host crate from cutile-rs; replaced the local crates/cuda-core. The cuda-oxide SIMT API lives under cuda_core::simt; it reads artifact bundles through the crates.io oxide-artifacts 0.2.1."
cuda-core-derive,0.3.1,Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,1st Party (crates.io),https://github.com/NVlabs/cutile-rs,#[derive(DeviceCopy)] for cuda_core::DeviceCopy,"Proc-macro companion of the shared cuda-core; re-exported as cuda_core::DeviceCopy. Same cutile-rs release as cuda-core."
cuda-device,0.2.1,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,Device-side intrinsics and types for CUDA kernels in Rust,
cuda-host,0.2.1,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,Host-side utilities for CUDA kernel development,
cuda-intrinsics,0.1.0,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,Generated low-level CUDA intrinsic declarations for cuda-oxide,
cuda-intrinsics-gen,0.1.0,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,Extractor and deterministic source generator for cuda-oxide intrinsics,
cuda-macros,0.2.1,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,"Procedural macros for CUDA kernel development (#[kernel], #[device], etc.)",
cuda-oxide-codegen,0.1.0,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,Experimental rustc-independent cuda-oxide PTX backend,
cuda-target-spec,0.1.0,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,Shared CUDA target parsing and recorded LLVM PTX-floor policy,
dashmap,6.2.1,MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/xacrimon/dashmap,Blazing fast concurrent HashMap for Rust.,Pulled by the shared cuda-async (cutile-rs).
device-only-kernels,0.0.0,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,"INTERNAL: fixture for scripts/check-device-only-build.sh, proving the macro expansion resolves with no cuda-host in the graph. Not published.",Declares its own [workspace] so it resolves independently of the root lock.
dialect-iket,0.1.0,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,Semantic IKET dialect for in-kernel event tracing,
dialect-mir,0.2.1,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,MIR dialect for pliron MLIR framework (Rust MIR representation),
dialect-nvvm,0.2.1,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,NVVM dialect for pliron MLIR framework (NVIDIA GPU intrinsics),
dialect-ptx,0.1.0,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,Structured Pliron PTX dialect with lossless-source projection and emission,
dissimilar,1.0.10,Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/dissimilar,"Diff library with semantic cleanup, based on Google's diff-match-patch",Dev-dependency only: used by expect-test.
downcast-rs,2.0.2,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/marcianx/downcast-rs,"Trait object downcasting support using only safe Rust. It supports type parameters, associated types, and type constraints.",
dyn-clone,1.0.20,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/dyn-clone,Clone trait that is dyn-compatible,
either,1.15.0,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rayon-rs/either,The enum `Either` with variants `Left` and `Right` is a general purpose sum type with two cases.,
errno,0.3.14,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/lambda-fairy/rust-errno,Cross-platform interface to the `errno` variable.,"Platform-conditional: only used by rustix's libc backend on non-Linux Unix targets, not compiled on x86_64-unknown-linux-gnu. Pulled in by tempfile."
expect-test,1.5.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-analyzer/expect-test,Minimalistic snapshot testing library,Dev-dependency only: used in llvm-export tests.
fastrand,2.5.0,Apache-2.0 OR MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/smol-rs/fastrand,A simple and fast random number generator,Pulled in by tempfile (scratch-directory naming) via cuda-oxide-codegen.
futures,0.3.32,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/futures-rs,"An implementation of futures and streams featuring zero allocations, composability, and iterator-like interfaces.",Combinators for the cuda-async DeviceOperation pipeline.
fuzzer,0.2.1,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,"Differential codegen fuzzer support for cuda-oxide (rustlantis adapter, trace API)",
getrandom,0.4.3,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-random/getrandom,A small cross-platform library for retrieving random data from system source,Pulled in by tempfile via cuda-oxide-codegen.
glob,0.3.3,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/glob,Support for matching file paths against Unix shell style patterns.,
half,2.7.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/VoidStarKat/half-rs,Half-precision floating point f16 and bf16 types for Rust implementing the IEEE 754-2008 standard binary16 and bfloat16 types.,Half-precision float types (f16/bf16). Core type used throughout for GPU compute.
iket-lower,0.1.0,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,Lowering policy and runtime-compatible encoding for dialect-iket,
itertools,0.13.0,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-itertools/itertools,"Extra iterator adaptors, iterator methods, free functions, and macros.",
libc,0.2.180,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/libc,Raw FFI bindings to platform libraries like libc.,
libloading,0.8.9,ISC,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/nagisa/rust_libloading/,Bindings around the platform's dynamic library loading primitives with greatly improved memory safety.,Dynamic library loading for CUDA driver API.
libm,0.2.16,MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/compiler-builtins,libm in pure Rust,libm_math compares device libdevice results against this portable software implementation.
libmathdx-sys,0.1.0,Apache-2.0,Yes,local (example),1st Party (example),https://github.com/NVlabs/cuda-oxide.git,Raw FFI bindings to NVIDIA libmathdx (runtime code-generation for MathDx),In mathdx_ffi_test example; not a workspace member.
libnvvm-sys,0.2.1,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,Runtime (dlopen) bindings to NVIDIA libNVVM (ships with the CUDA Toolkit),
linkme,0.3.35,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/linkme,Safe cross-platform linker shenanigans,
linkme-impl,0.3.35,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/linkme,Implementation detail of the linkme crate,
linux-raw-sys,0.12.1,Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/sunfishcode/linux-raw-sys,Generated bindings for Linux's userspace API,Pulled in by rustix (via tempfile) for direct Linux syscalls.
llvm-export,0.2.1,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,Re-exports pliron-llvm and emits the LLVM dialect as textual LLVM IR,
log,0.4.29,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/log,A lightweight logging facade for Rust,
memchr,2.7.6,Unlicense OR MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/BurntSushi/memchr,"Provides extremely fast (uses SIMD on x86_64, aarch64 and wasm32) routines for 1, 2 or 3 byte search and single substring search.",
minimal-lexical,0.2.1,MIT/Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/Alexhuszagh/minimal-lexical,Fast float parsing conversion routines.,
mir-importer,0.2.1,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,Rust MIR to pliron MLIR translation and compilation pipeline,
mir-lower,0.2.1,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,MIR dialect to LLVM dialect lowering pass,
mir-transforms,0.2.1,Apache-2.0,Yes,local (workspace),1st Party (workspace),https://github.com/NVlabs/cuda-oxide.git,"Optimization passes over the MIR dialect (loop unroll, ...)",
nom,7.1.3,MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/Geal/nom,"A byte-oriented, zero-copy, parser combinators library",
